rep,1_6,2_6,destination
0,cap-f-H-high,sample-neg-00,1
0,cap-f-H-high,sample-neg-01,2
0,cap-f-H-high,sample-pf-00,3
0,cap-f-H-high,sample-pv-00,4
0,cap-f-H-high,sample-pv-01,5
0,cap-f-H-low,sample-neg-00,6
0,cap-f-H-low,sample-neg-01,7
0,cap-f-H-low,sample-pf-00,8
0,cap-f-H-low,sample-pv-00,9
0,cap-f-H-low,sample-pv-01,10
0,cap-f-M-high,sample-neg-00,11
0,cap-f-M-high,sample-neg-01,12
0,cap-f-M-high,sample-pf-00,13
0,cap-f-M-high,sample-pv-00,14
0,cap-f-M-high,sample-pv-01,15
0,cap-f-M-low,sample-neg-00,16
0,cap-f-M-low,sample-neg-01,17
0,cap-f-M-low,sample-pf-00,18
0,cap-f-M-low,sample-pv-00,19
0,cap-f-M-low,sample-pv-01,20
1,cap-f-H-high,sample-neg-00,21
1,cap-f-H-high,sample-neg-01,22
1,cap-f-H-high,sample-pf-00,23
1,cap-f-H-high,sample-pv-00,24
1,cap-f-H-high,sample-pv-01,25
1,cap-f-H-low,sample-neg-00,26
1,cap-f-H-low,sample-neg-01,27
1,cap-f-H-low,sample-pf-00,28
1,cap-f-H-low,sample-pv-00,29
1,cap-f-H-low,sample-pv-01,30
1,cap-f-M-high,sample-neg-00,31
1,cap-f-M-high,sample-neg-01,32
1,cap-f-M-high,sample-pf-00,33
1,cap-f-M-high,sample-pv-00,34
1,cap-f-M-high,sample-pv-01,35
1,cap-f-M-low,sample-neg-00,36
1,cap-f-M-low,sample-neg-01,37
1,cap-f-M-low,sample-pf-00,38
1,cap-f-M-low,sample-pv-00,39
1,cap-f-M-low,sample-pv-01,40
2,cap-f-H-high,sample-neg-00,41
2,cap-f-H-high,sample-neg-01,42
2,cap-f-H-high,sample-pf-00,43
2,cap-f-H-high,sample-pv-00,44
2,cap-f-H-high,sample-pv-01,45
2,cap-f-H-low,sample-neg-00,46
2,cap-f-H-low,sample-neg-01,47
2,cap-f-H-low,sample-pf-00,48
2,cap-f-H-low,sample-pv-00,49
2,cap-f-H-low,sample-pv-01,50
2,cap-f-M-high,sample-neg-00,51
2,cap-f-M-high,sample-neg-01,52
2,cap-f-M-high,sample-pf-00,53
2,cap-f-M-high,sample-pv-00,54
2,cap-f-M-high,sample-pv-01,55
2,cap-f-M-low,sample-neg-00,56
2,cap-f-M-low,sample-neg-01,57
2,cap-f-M-low,sample-pf-00,58
2,cap-f-M-low,sample-pv-00,59
2,cap-f-M-low,sample-pv-01,60
3,cap-f-H-high,sample-neg-00,61
3,cap-f-H-high,sample-neg-01,62
3,cap-f-H-high,sample-pf-00,63
3,cap-f-H-high,sample-pv-00,64
3,cap-f-H-high,sample-pv-01,65
3,cap-f-H-low,sample-neg-00,66
3,cap-f-H-low,sample-neg-01,67
3,cap-f-H-low,sample-pf-00,68
3,cap-f-H-low,sample-pv-00,69
3,cap-f-H-low,sample-pv-01,70
3,cap-f-M-high,sample-neg-00,71
3,cap-f-M-high,sample-neg-01,72
3,cap-f-M-high,sample-pf-00,73
3,cap-f-M-high,sample-pv-00,74
3,cap-f-M-high,sample-pv-01,75
3,cap-f-M-low,sample-neg-00,76
3,cap-f-M-low,sample-neg-01,77
3,cap-f-M-low,sample-pf-00,78
3,cap-f-M-low,sample-pv-00,79
3,cap-f-M-low,sample-pv-01,80
