from_plate,from_well,source,volume_ul,plate,volume_well,nrow,ncol,volume_holdover,volume_usable,volume_user_input
ivl_1_flat_v1_0001,1.0,rb-current,225.0,ivl_1_flat_v1,40000,1,1,800,39200,1025.0
ivl_1_flat_v1_0001,2.0,rb-current,225.0,ivl_1_flat_v1,40000,1,1,800,39200,1025.0
ivl_1_flat_v1_0001,3.0,rb-current,225.0,ivl_1_flat_v1,40000,1,1,800,39200,1025.0
ivl_1_flat_v1_0001,4.0,rb-current,225.0,ivl_1_flat_v1,40000,1,1,800,39200,1025.0
ivl_1_flat_v1_0001,5.0,rb-current,150.0,ivl_1_flat_v1,40000,1,1,800,39200,950.0
ivl_1_flat_v1_0001,6.0,rb-current,150.0,ivl_1_flat_v1,40000,1,1,800,39200,950.0
ivl_1_flat_v1_0001,7.0,rb-current,150.0,ivl_1_flat_v1,40000,1,1,800,39200,950.0
ivl_1_flat_v1_0001,8.0,rb-current,150.0,ivl_1_flat_v1,40000,1,1,800,39200,950.0
ivl_384_flat_v1_0001,1.0,cap-c-L-high,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,17.0,conj-CNB-3h8,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,33.0,sample-neg-00,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,35.0,sample-neg-01,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,37.0,sample-pf-00,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,39.0,sample-pv-00,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
ivl_384_flat_v1_0001,41.0,sample-pv-01,20.0,ivl_384_flat_v1,90,16,24,40,50,60.0
